ecosystem,locked_path,package,version,license_expression,scope,disposition,notes
javascript,node_modules/side-channel-map,side-channel-map,1.0.1,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/side-channel-weakmap,side-channel-weakmap,1.0.2,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/siginfo,siginfo,2.0.0,ISC,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/source-map-js,source-map-js,1.2.1,BSD-3-Clause,runtime,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/stable-hash,stable-hash,0.0.5,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/stackback,stackback,0.0.2,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/std-env,std-env,4.2.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/stop-iteration-iterator,stop-iteration-iterator,1.1.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/string.prototype.includes,string.prototype.includes,2.0.1,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/string.prototype.matchall,string.prototype.matchall,4.0.12,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/string.prototype.repeat,string.prototype.repeat,1.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/string.prototype.trim,string.prototype.trim,1.2.11,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/string.prototype.trimend,string.prototype.trimend,1.0.10,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/string.prototype.trimstart,string.prototype.trimstart,1.0.8,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/strip-bom,strip-bom,3.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/strip-indent,strip-indent,3.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/strip-json-comments,strip-json-comments,3.1.1,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/styled-jsx,styled-jsx,5.1.6,MIT,runtime,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/supports-color,supports-color,7.2.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/supports-preserve-symlinks-flag,supports-preserve-symlinks-flag,1.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/symbol-tree,symbol-tree,3.2.4,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/tinybench,tinybench,2.9.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/tinyexec,tinyexec,1.3.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/tinyglobby,tinyglobby,0.2.17,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/tinyglobby/node_modules/fdir,fdir,6.5.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/tinyglobby/node_modules/picomatch,picomatch,4.0.5,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/tinyrainbow,tinyrainbow,3.1.1,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/tldts,tldts,7.4.10,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/tldts-core,tldts-core,7.4.10,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/to-regex-range,to-regex-range,5.0.1,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/tough-cookie,tough-cookie,6.0.2,BSD-3-Clause,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/tr46,tr46,6.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/ts-api-utils,ts-api-utils,2.5.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/tsconfig-paths,tsconfig-paths,3.15.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/tsconfig-paths/node_modules/json5,json5,1.0.2,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/tslib,tslib,2.8.1,0BSD,runtime,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/type-check,type-check,0.4.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/typed-array-buffer,typed-array-buffer,1.0.3,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/typed-array-byte-length,typed-array-byte-length,1.0.3,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/typed-array-byte-offset,typed-array-byte-offset,1.0.4,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/typed-array-length,typed-array-length,1.0.8,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/typescript,typescript,5.9.3,Apache-2.0,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/typescript-eslint,typescript-eslint,8.67.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/unbox-primitive,unbox-primitive,1.1.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/undici,undici,8.10.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/undici-types,undici-types,8.3.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/unrs-resolver,unrs-resolver,1.12.2,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/update-browserslist-db,update-browserslist-db,1.3.1,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/uri-js,uri-js,4.4.1,BSD-2-Clause,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/vite,vite,8.2.1,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/vite/node_modules/fsevents,fsevents,2.3.3,MIT,development+optional,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/vite/node_modules/picomatch,picomatch,4.0.5,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/vite/node_modules/postcss,postcss,8.5.26,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/vitest,vitest,4.1.10,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/vitest/node_modules/picomatch,picomatch,4.0.5,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/w3c-xmlserializer,w3c-xmlserializer,5.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/webidl-conversions,webidl-conversions,8.0.1,BSD-2-Clause,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/whatwg-mimetype,whatwg-mimetype,5.0.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/whatwg-url,whatwg-url,17.1.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/which,which,2.0.2,ISC,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/which-boxed-primitive,which-boxed-primitive,1.1.1,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/which-builtin-type,which-builtin-type,1.2.1,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/which-collection,which-collection,1.0.2,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/which-typed-array,which-typed-array,1.1.22,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/why-is-node-running,why-is-node-running,2.3.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/word-wrap,word-wrap,1.2.5,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/xml-name-validator,xml-name-validator,5.0.0,Apache-2.0,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/xmlchars,xmlchars,2.2.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/yallist,yallist,3.1.1,ISC,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/yocto-queue,yocto-queue,0.1.0,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/zod,zod,4.4.3,MIT,development,accepted,License metadata recorded in npm lockfile.
javascript,node_modules/zod-validation-error,zod-validation-error,4.0.2,MIT,development,accepted,License metadata recorded in npm lockfile.
